transaction_id,customer_id,product_id,purchase_date,quantity,unit_price,discount_pct,revenue,payment_method,signup_date,age,gender,region,state,income_band,churn_label,category,subcategory,brand,base_price,cost
500656,10718,2021,2022-01-01,4,18222.21,0.0,72888.84,UPI,2022-06-23,41,Female,West,Rajasthan,10L-15L,0,Home,Furniture,Brand_HO6,18222.21,12508.53
507867,10518,2006,2022-01-01,4,283.85,0.0,1135.4,Card,2021-03-14,35,Female,North,Punjab,10L-15L,0,Electronics,Accessories,Brand_EL5,283.85,145.49
522566,10080,2103,2022-01-01,3,5805.28,0.05,17415.84,UPI,2023-01-04,58,Female,West,Gujarat,<3L,0,Grocery,Beverages,Brand_GR4,6110.82,3236.47
522332,10773,2120,2022-01-01,2,13655.76,0.05,27311.52,COD,2021-01-06,50,Female,South,Telangana,6L-10L,0,Home,Furniture,Brand_HO0,14374.48,9622.97
522825,10903,2108,2022-01-01,3,7214.01,0.0,21642.03,COD,2021-08-28,26,Female,South,Telangana,6L-10L,0,Electronics,Laptops,Brand_EL2,7214.01,3616.63
500619,11130,2017,2022-01-01,4,8419.98,0.1,33679.92,COD,2022-12-12,24,Female,South,Telangana,3L-6L,0,Grocery,Beverages,Brand_GR2,9355.53,4833.23
507398,10861,2078,2022-01-01,4,3688.76,0.05,14755.04,UPI,2023-11-27,60,Female,North,Haryana,3L-6L,0,Electronics,Audio,Brand_EL0,3882.91,2342.76
509016,10451,2074,2022-01-01,1,10543.42,0.0,10543.42,UPI,2023-11-18,26,Male,North,Haryana,15L+,0,Electronics,Accessories,Brand_EL3,10543.42,7406.52
512270,11137,2125,2022-01-01,1,17734.79,0.05,17734.79,UPI,2023-03-05,39,Female,North,Punjab,6L-10L,0,Home,Furniture,Brand_HO5,18668.2,11914.58
515903,10870,2034,2022-01-01,1,7171.66,0.0,7171.66,NetBanking,2021-02-13,37,Female,West,Maharashtra,3L-6L,0,Home,Furniture,Brand_HO5,7171.66,4053.42
520320,10739,2017,2022-01-01,4,9355.53,0.0,37422.12,UPI,2023-03-20,63,Male,Central,Madhya Pradesh,6L-10L,0,Grocery,Beverages,Brand_GR2,9355.53,4833.23
508787,10666,2131,2022-01-01,2,8303.39,0.0,16606.78,UPI,2023-01-31,37,Female,East,West Bengal,6L-10L,0,Sports,Outdoor,Brand_SP4,8303.39,5345.65
504602,10311,2035,2022-01-01,2,9560.35,0.2,19120.7,UPI,2022-12-31,33,Male,East,Odisha,6L-10L,0,Beauty,Fragrance,Brand_BE6,11950.44,6200.23
508714,10686,2020,2022-01-01,3,16459.82,0.1,49379.46,UPI,2023-05-27,26,Male,North,Delhi,3L-6L,0,Fashion,Kids,Brand_FA5,18288.69,13768.3
505701,11114,2066,2022-01-01,4,12223.05,0.0,48892.2,NetBanking,2021-11-16,20,Male,North,Punjab,10L-15L,0,Beauty,Haircare,Brand_BE2,12223.05,9287.7
510079,10214,2102,2022-01-02,1,3307.73,0.0,3307.73,Card,2022-05-08,55,Female,Central,Madhya Pradesh,<3L,0,Home,Decor,Brand_HO3,3307.73,2210.42
511734,10149,2062,2022-01-02,2,15973.96,0.05,31947.92,UPI,2023-06-19,52,Male,South,Tamil Nadu,3L-6L,0,Fashion,Men,Brand_FA5,16814.69,10349.0
500513,10544,2046,2022-01-02,1,7078.23,0.2,7078.23,NetBanking,2021-07-11,19,Female,East,Odisha,3L-6L,1,Fashion,Men,Brand_FA3,8847.79,6370.83
501603,10208,2119,2022-01-02,2,6358.48,0.1,12716.96,Card,2023-11-28,59,Male,Central,Chhattisgarh,6L-10L,0,Fashion,Women,Brand_FA6,7064.98,4460.01
501582,11103,2115,2022-01-02,1,19687.85,0.0,19687.85,UPI,2023-10-04,44,Male,North,Punjab,3L-6L,0,Beauty,Fragrance,Brand_BE2,19687.85,14052.09
514113,10174,2011,2022-01-02,2,12570.44,0.0,25140.88,UPI,2023-03-02,37,Female,West,Maharashtra,10L-15L,0,Sports,Fitness,Brand_SP3,12570.44,7415.23
516829,11174,2022,2022-01-02,2,4328.48,0.05,8656.96,Card,2021-07-14,36,Male,North,Punjab,3L-6L,0,Fashion,Men,Brand_FA0,4556.29,3047.64
504872,10055,2042,2022-01-02,4,12627.65,0.05,50510.6,UPI,2022-06-30,48,Male,North,Haryana,3L-6L,0,Beauty,Haircare,Brand_BE6,13292.26,10392.65
516772,10366,2077,2022-01-02,3,17028.79,0.05,51086.37,UPI,2022-07-23,39,Male,North,Punjab,<3L,0,Beauty,Haircare,Brand_BE6,17925.04,11345.04
513385,10778,2073,2022-01-02,3,1023.84,0.0,3071.52,UPI,2021-05-10,34,Female,Central,Madhya Pradesh,3L-6L,0,Sports,Outdoor,Brand_SP2,1023.84,549.52
508951,10760,2133,2022-01-02,3,6592.03,0.05,19776.09,UPI,2023-03-11,26,Female,North,Haryana,6L-10L,0,Fashion,Men,Brand_FA6,6938.98,4006.82
503921,11144,2144,2022-01-02,3,10477.63,0.15,31432.89,UPI,2023-07-14,52,Male,West,Maharashtra,3L-6L,0,Home,Decor,Brand_HO3,12326.62,9438.48
502933,10441,2031,2022-01-02,3,236.87,0.0,710.61,UPI,2023-12-02,51,Female,South,Telangana,3L-6L,1,Electronics,Mobiles,Brand_EL2,236.87,165.22
502305,10380,2061,2022-01-02,3,16557.77,0.1,49673.31,UPI,2021-10-15,46,Female,East,West Bengal,6L-10L,0,Home,Decor,Brand_HO4,18397.52,12829.83
506618,10584,2007,2022-01-02,4,6724.76,0.1,26899.04,UPI,2021-02-26,62,Male,South,Kerala,6L-10L,0,Home,Kitchen,Brand_HO6,7471.95,4721.11
502161,10680,2059,2022-01-02,2,9645.52,0.2,19291.04,Card,2023-10-22,22,Female,East,Odisha,6L-10L,0,Beauty,Haircare,Brand_BE2,12056.9,7852.21
508233,10415,2136,2022-01-02,3,8925.38,0.2,26776.14,UPI,2021-01-20,20,Female,Central,Madhya Pradesh,6L-10L,0,Home,Decor,Brand_HO2,11156.73,8509.74
521221,11199,2059,2022-01-02,4,12056.9,0.0,48227.6,UPI,2023-05-30,29,Male,West,Maharashtra,10L-15L,0,Beauty,Haircare,Brand_BE2,12056.9,7852.21
522977,11124,2041,2022-01-03,4,4219.11,0.05,16876.44,NetBanking,2021-09-24,48,Male,Central,Chhattisgarh,6L-10L,0,Grocery,Beverages,Brand_GR5,4441.17,3541.21
516372,10093,2048,2022-01-03,4,11092.94,0.15,44371.76,UPI,2023-07-11,38,Female,North,Delhi,<3L,0,Beauty,Fragrance,Brand_BE5,13050.52,9447.07
501304,10298,2066,2022-01-03,2,11000.74,0.1,22001.48,NetBanking,2022-04-26,54,Female,South,Telangana,3L-6L,0,Beauty,Haircare,Brand_BE2,12223.05,9287.7
515554,10031,2045,2022-01-03,2,972.78,0.0,1945.56,NetBanking,2022-05-09,56,Male,South,Telangana,<3L,0,Grocery,Beverages,Brand_GR2,972.78,675.75
503119,11070,2127,2022-01-03,2,13345.12,0.15,26690.24,Card,2021-01-12,63,Female,West,Rajasthan,3L-6L,0,Sports,Outdoor,Brand_SP0,15700.14,10249.32
507558,10040,2116,2022-01-03,3,4089.71,0.1,12269.13,Card,2022-11-23,19,Male,Central,Madhya Pradesh,6L-10L,1,Fashion,Kids,Brand_FA3,4544.12,3126.7
501572,11045,2117,2022-01-03,4,8829.66,0.1,35318.64,UPI,2023-02-16,51,Male,Central,Chhattisgarh,3L-6L,0,Fashion,Kids,Brand_FA4,9810.73,5447.33
516762,10733,2023,2022-01-03,3,6283.73,0.0,18851.19,UPI,2023-10-07,57,Female,East,Odisha,<3L,0,Home,Decor,Brand_HO1,6283.73,3743.16
514252,10872,2011,2022-01-03,2,10684.87,0.15,21369.74,NetBanking,2021-08-09,48,Male,West,Gujarat,3L-6L,0,Sports,Fitness,Brand_SP3,12570.44,7415.23
503252,10981,2132,2022-01-03,1,15201.4,0.0,15201.4,UPI,2022-10-08,50,Female,North,Delhi,6L-10L,0,Electronics,Audio,Brand_EL5,15201.4,7884.08
522015,10364,2159,2022-01-03,4,1053.11,0.1,4212.44,UPI,2023-09-06,61,Female,Central,Madhya Pradesh,3L-6L,0,Sports,Apparel,Brand_SP4,1170.12,647.47
518535,10621,2099,2022-01-03,4,12092.55,0.0,48370.2,UPI,2022-04-20,32,Female,Central,Madhya Pradesh,3L-6L,0,Beauty,Haircare,Brand_BE0,12092.55,7108.65
512848,10604,2048,2022-01-03,4,12397.99,0.05,49591.96,UPI,2021-05-28,30,Female,East,West Bengal,6L-10L,0,Beauty,Fragrance,Brand_BE5,13050.52,9447.07
515724,10009,2059,2022-01-03,3,11454.05,0.05,34362.15,UPI,2021-08-09,31,Male,South,Tamil Nadu,3L-6L,0,Beauty,Haircare,Brand_BE2,12056.9,7852.21
523450,10610,2143,2022-01-03,4,470.66,0.15,1882.64,Card,2023-07-29,63,Male,West,Rajasthan,3L-6L,0,Fashion,Men,Brand_FA2,553.72,302.59
