transaction_id,customer_id,product_id,purchase_date,quantity,unit_price,discount_pct,revenue,payment_method
500656,10718,2021,2022-01-01,4,18222.21,0.0,72888.84,UPI
507867,10518,2006,2022-01-01,4,283.85,0.0,1135.4,Card
522566,10080,2103,2022-01-01,3,5805.28,0.05,17415.84,UPI
522332,10773,2120,2022-01-01,2,13655.76,0.05,27311.52,COD
522825,10903,2108,2022-01-01,3,7214.01,0.0,21642.03,COD
500619,11130,2017,2022-01-01,4,8419.98,0.1,33679.92,COD
507398,10861,2078,2022-01-01,4,3688.76,0.05,14755.04,UPI
509016,10451,2074,2022-01-01,1,10543.42,0.0,10543.42,UPI
512270,11137,2125,2022-01-01,1,17734.79,0.05,17734.79,UPI
515903,10870,2034,2022-01-01,1,7171.66,0.0,7171.66,NetBanking
520320,10739,2017,2022-01-01,4,9355.53,0.0,37422.12,UPI
508787,10666,2131,2022-01-01,2,8303.39,0.0,16606.78,UPI
504602,10311,2035,2022-01-01,2,9560.35,0.2,19120.7,UPI
508714,10686,2020,2022-01-01,3,16459.82,0.1,49379.46,UPI
505701,11114,2066,2022-01-01,4,12223.05,0.0,48892.2,NetBanking
510079,10214,2102,2022-01-02,1,3307.73,0.0,3307.73,Card
511734,10149,2062,2022-01-02,2,15973.96,0.05,31947.92,UPI
500513,10544,2046,2022-01-02,1,7078.23,0.2,7078.23,NetBanking
501603,10208,2119,2022-01-02,2,6358.48,0.1,12716.96,Card
501582,11103,2115,2022-01-02,1,19687.85,0.0,19687.85,UPI
514113,10174,2011,2022-01-02,2,12570.44,0.0,25140.88,UPI
516829,11174,2022,2022-01-02,2,4328.48,0.05,8656.96,Card
504872,10055,2042,2022-01-02,4,12627.65,0.05,50510.6,UPI
516772,10366,2077,2022-01-02,3,17028.79,0.05,51086.37,UPI
513385,10778,2073,2022-01-02,3,1023.84,0.0,3071.52,UPI
508951,10760,2133,2022-01-02,3,6592.03,0.05,19776.09,UPI
503921,11144,2144,2022-01-02,3,10477.63,0.15,31432.89,UPI
502933,10441,2031,2022-01-02,3,236.87,0.0,710.61,UPI
502305,10380,2061,2022-01-02,3,16557.77,0.1,49673.31,UPI
506618,10584,2007,2022-01-02,4,6724.76,0.1,26899.04,UPI
502161,10680,2059,2022-01-02,2,9645.52,0.2,19291.04,Card
508233,10415,2136,2022-01-02,3,8925.38,0.2,26776.14,UPI
521221,11199,2059,2022-01-02,4,12056.9,0.0,48227.6,UPI
522977,11124,2041,2022-01-03,4,4219.11,0.05,16876.44,NetBanking
516372,10093,2048,2022-01-03,4,11092.94,0.15,44371.76,UPI
501304,10298,2066,2022-01-03,2,11000.74,0.1,22001.48,NetBanking
515554,10031,2045,2022-01-03,2,972.78,0.0,1945.56,NetBanking
503119,11070,2127,2022-01-03,2,13345.12,0.15,26690.24,Card
507558,10040,2116,2022-01-03,3,4089.71,0.1,12269.13,Card
501572,11045,2117,2022-01-03,4,8829.66,0.1,35318.64,UPI
516762,10733,2023,2022-01-03,3,6283.73,0.0,18851.19,UPI
514252,10872,2011,2022-01-03,2,10684.87,0.15,21369.74,NetBanking
